jenis_makam,lokasi,zona,no_lot,ukuran
kotak_abu,KARAWANG,LCB-B-B11,DB-09-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-09-98,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-08,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-108,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-118,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-128,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-138,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-18,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-28,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-38,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-68,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-88,Double
kotak_abu,KARAWANG,LCB-B-B11,DB-3A-98,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-01-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-01-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-01-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-01-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-01-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-02-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-02-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-02-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-02-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-02-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-03-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-03-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-03-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-03-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-03-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-05-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-05-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-05-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-05-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-05-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-06-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-06-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-06-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-06-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-06-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-07-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-07-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-07-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-07-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-07-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-08-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-08-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-08-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-08-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-08-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-09-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-09-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-09-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-09-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-09-68,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-3A-08,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-3A-18,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-3A-28,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-3A-38,Double
kotak_abu,KARAWANG,LCB-B-B12,DR-3A-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-01-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-01-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-01-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-01-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-01-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-02-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-02-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-02-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-02-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-02-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-03-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-03-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-03-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-03-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-03-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-05-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-05-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-05-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-05-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-05-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-06-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-06-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-06-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-06-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-06-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-07-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-07-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-07-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-07-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-07-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-08-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-08-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-08-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-08-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-08-68,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-09-08,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-09-18,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-09-28,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-09-38,Double
kotak_abu,KARAWANG,LCB-B-B13,DL-09-68,Double
